ObjectName,ObjectType,SourcePath
CoberturaFolga,TABLE,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
EscalaDiaria,TABLE,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Ferias,TABLE,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
FolgaRecesso,TABLE,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
LogErro,TABLE,FrotiX.Site.OLD\Models\LogErro.cs
ObservacoesEscala,TABLE,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
TipoServico,TABLE,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
Turno,TABLE,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
VAssociado,TABLE,FrotiX.Site.OLD\Models\Cadastros\Escalas.cs
ViewMotoristasViagem,TABLE,FrotiX.Site.OLD\Models\Views\ViewMotoristasViagem.cs
ViewOcorrenciasAbertasVeiculo,TABLE,FrotiX.Site.OLD\Models\ViewOcorrenciasAbertasVeiculo.cs
ViewOcorrenciasViagem,TABLE,FrotiX.Site.OLD\Models\ViewOcorrenciasViagem.cs
ViewVeiculosManutencao,TABLE,FrotiX.Site.OLD\Models\Views\ViewVeiculosManutencao.cs
ViewVeiculosManutencaoReserva,TABLE,FrotiX.Site.OLD\Models\Views\ViewVeiculosManutencaoReserva.cs
ViewEscalasCompletas,VIEW,FrotiX.Site.OLD\Models\Views\ViewEscalasCompletas.cs
ViewFluxoEconomildoData,VIEW,FrotiX.Site.OLD\Models\Views\ViewFluxoEconomildoData.cs
ViewGlosa,VIEW,FrotiX.Site.OLD\Models\Views\ViewGlosa.cs
ViewManutencao,VIEW,FrotiX.Site.OLD\Models\Views\ViewManutencao.cs
ViewMotoristasVez,VIEW,FrotiX.Site.OLD\Models\Views\ViewMotoristaVez.cs
ViewStatusMotoristas,VIEW,FrotiX.Site.OLD\Models\Views\ViewStatusMotoristas.cs
